iter	Passed	Remaining
0	3051	4574132
1	4232	3170230
2	6843	3415077
3	9988	3735724
4	12466	3727391
5	15169	3777097
6	18165	3874543
7	21187	3951388
8	23877	3955631
9	25859	3853004
10	29063	3934125
11	31584	3916438
12	34283	3921541
13	36694	3894867
14	39405	3901107
15	42051	3900250
16	44602	3890927
17	47365	3899769
18	50157	3909642
19	52806	3907683
20	56315	3966194
21	59525	3999000
22	60553	3888601
23	64360	3958186
24	65413	3859385
25	67076	3802704
26	70255	3832812
27	71246	3745528
28	73059	3705886
29	75311	3690268
30	79109	3748779
31	80564	3695879
32	82047	3647387
33	83644	3606538
34	85578	3582066
35	87013	3538540
36	88225	3488502
37	90458	3480267
38	92191	3453622
39	96044	3505606
40	97824	3481121
41	101533	3524671
42	102978	3489286
43	104852	3469669
44	108549	3509780
45	110126	3480952
46	112379	3474206
47	114543	3464935
48	116138	3439117
49	117662	3412220
50	119701	3400927
51	121144	3373398
52	124935	3410981
53	126914	3398485
54	128954	3387991
55	131361	3387246
56	135255	3424102
57	138909	3453586
58	140030	3420065
59	142176	3412233
60	144015	3397352
61	146158	3389942
62	149971	3420775
63	152106	3412890
64	154450	3409792
65	156643	3403442
66	160566	3434197
67	162703	3426334
68	165672	3435912
69	168091	3433866
70	171887	3459529
71	174660	3464098
72	177568	3471091
73	181346	3494603
74	183679	3489901
75	185941	3483947
76	188144	3477016
77	191457	3490422
78	193316	3477251
79	196122	3481173
80	198579	3478821
81	201629	3486709
82	205575	3509652
83	209476	3531175
84	211692	3524052
85	214749	3530880
86	217758	3536690
87	220944	3545153
88	224854	3564826
89	229060	3588608
90	232233	3595791
91	235696	3607174
92	238425	3607147
93	241888	3618030
94	244999	3623410
95	248781	3638436
96	252409	3650830
97	256525	3669887
98	258531	3658606
99	261613	3662583
100	264909	3669395
101	267751	3669771
102	270936	3674736
103	273680	3673638
104	276805	3677563
105	280361	3687019
106	284113	3698779
107	287251	3702347
108	291056	3714308
109	294552	3722072
110	297912	3727933
111	299934	3717044
112	301611	3702086
113	303874	3694473
114	306015	3685496
115	309640	3694328
116	313209	3702299
117	316055	3701594
118	320161	3715487
119	323515	3720431
120	325016	3704108
121	328900	3714955
122	333132	3729461
123	336639	3735609
124	339726	3736991
125	341667	3725805
126	344700	3726566
127	348458	3735040
128	350790	3728170
129	354897	3740069
130	358189	3743213
131	363312	3765242
132	367034	3772455
133	370140	3773220
134	373016	3771613
135	377293	3784033
136	380952	3790060
137	384079	3790696
138	386499	3784355
139	389551	3784217
140	392278	3780897
141	395400	3781362
142	398584	3782372
143	401853	3784124
144	404399	3779045
145	407020	3774699
146	410097	3774574
147	412994	3772763
148	418487	3794475
149	422162	3799463
150	424847	3795491
151	427354	3789961
152	430002	3785709
153	433357	3787657
154	434642	3771578
155	437404	3768408
156	440305	3766436
157	444523	3775635
158	447146	3771214
159	450079	3769419
160	452873	3766446
161	455687	3763637
162	461014	3781446
163	464538	3784292
164	468771	3792785
165	472414	3796390
166	477669	3812774
167	482189	3823074
168	484914	3819063
169	488868	3824677
170	491666	3821197
171	494977	3821683
172	498517	3823892
173	503031	3833445
174	505645	3828461
175	509744	3834669
176	513552	3838586
177	516082	3832926
178	518386	3825636
179	520783	3819080
180	524025	3818730
181	526218	3810743
182	528921	3806501
183	531313	3800043
184	534265	3797616
185	536993	3793598
186	540967	3798344
187	544561	3800341
188	547221	3795809
189	548496	3781735
190	551147	3777238
191	553969	3773917
192	558032	3779008
193	561282	3778531
194	564946	3780796
195	567604	3776304
196	570030	3770301
197	572518	3764742
198	575185	3760383
199	577981	3756877
200	581832	3760202
201	584536	3756080
202	587189	3751646
203	591287	3756411
204	593885	3751620
205	596390	3746258
206	599171	3742650
207	602315	3741305
208	605668	3741234
209	608307	3736745
210	611715	3736971
211	614556	3733721
212	617125	3728831
213	620962	3731579
214	625007	3735510
215	627761	3731691
216	629999	3724836
217	632493	3719523
218	636396	3722483
219	639125	3718549
220	642978	3721129
221	645713	3717214
222	648846	3715589
223	651610	3711855
224	655374	3713789
225	658418	3711617
226	661611	3710270
227	665138	3710774
228	669073	3713504
229	671599	3708398
230	674478	3705249
231	677388	3702276
232	680660	3701274
233	685191	3707060
234	687320	3699830
235	690520	3698383
236	693427	3695354
237	696202	3691628
238	699082	3688464
239	702530	3688285
240	705687	3686559
241	708142	3681171
242	710649	3676076
243	713664	3673615
244	716890	3672233
245	720604	3673326
246	723438	3669912
247	726439	3667347
248	729994	3667563
249	732895	3664476
250	736439	3664593
251	740893	3669186
252	744832	3671171
253	748244	3670524
